Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
1291,14.9195,64949.6,0.499986,2.4464299999999998e-09,9.999839999999999,3.180154381e+19,160000000000.0,5195822512896000.0,25423143.988479998,1.0391936e+16,1.0266915089513441e+24,3.591999057091786e+17,2.0534936952227867e+24,6.3603102089999745e+19
1306,16.8962,41630.9,0.49998100000000006,4.25198e-09,9.999839999999999,3.180154619e+19,160000000000.0,3330345442064001.0,28322200.669120003,6660944000000000.0,1.0266915714756231e+24,3.591999061069525e+17,2.053493820275441e+24,6.360310446999975e+19
1321,16.8962,20354.6,0.499967,1.0023e-08,9.999839999999999,3.180154858e+19,160000000000.0,1628260527712000.0,32642264.928,3256736000000000.0,1.0266916072061048e+24,3.591999065594789e+17,2.0534938917398387e+24,6.360310685999974e+19
1336,14.9462,5758.65,0.49988999999999995,6.37978e-08,9.999839999999999,3.180155096e+19,160000000000.0,460590647759999.9,58782272.155200005,921384000000000.0,1.026691621301303e+24,3.5919990716053843e+17,2.0534939199332911e+24,6.360310923999974e+19
1351,10.7471,1024.67,0.49615299999999996,8.345520000000001e-05,9.999839999999999,3.180155335e+19,160000000000.0,81342895121600.0,13682246365.440002,163947200000000.0,1.0266916240919133e+24,3.5920002942689914e+17,2.0534939255227992e+24,6.360311162999974e+19
1366,14.9462,7184.67,0.499911,4.1009e-08,9.999839999999999,3.180155573e+19,160000000000.0,574671290299200.0,47141781.1248,1149547200000000.0,1.0266916281653211e+24,3.5920011083139046e+17,2.0534939336746184e+24,6.360311400999974e+19
1381,16.8962,22895.8,0.49996999999999997,8.6777e-09,9.999839999999999,3.180155683e+19,20000002048.0,228944285963892.44,3973658.0801025457,457916046890598.4,1.0266916343117535e+24,3.5920011110139923e+17,2.0534939459688916e+24,6.3603115109999755e+19
1396,16.5534,44733.3,0.499982,3.8914e-09,9.999839999999999,3.180155707e+19,20000002048.0,447316941817250.1,3481503.6289059357,894666091613798.5,1.0266916384329582e+24,3.592001111455788e+17,2.0534939542116579e+24,6.360311534999978e+19
1411,14.7481,67936.9,0.499986,2.3235100000000004e-09,9.999839999999999,3.180155731e+19,20000002048.0,679350047233437.6,3157041.6536610327,1358738139134771.0,1.0266916453285463e+24,3.5920011118481594e+17,2.0534939680032617e+24,6.3603115589999804e+19
1426,13.8569,87448.4,0.499988,1.70961e-09,9.999839999999999,3.180155754e+19,9999998976.0,437231461419493.75,1495026.4381492771,874483910452838.4,1.0266916543912218e+24,3.592001112199445e+17,2.0534939861290762e+24,6.360311581999982e+19
1441,13.4685,99014.7,0.499989,1.4712e-09,9.999839999999999,3.180155778e+19,9999998976.0,495062557688588.9,1456704.1172334831,990146898608947.1,1.0266916656979943e+24,3.592001112553208e+17,2.0534940087431522e+24,6.36031160599998e+19
